timestamp_created,voted_up,written_during_early_access,votes_up
1776036443,1,1,0
1772467634,0,1,0
1771559608,0,1,1
1769604285,0,1,0
1765484815,0,1,0
1762722436,0,1,3
1756519138,0,1,0
1755700518,0,1,0
1743490241,1,1,0
1742073378,1,1,0
1741641414,0,1,0
1739366032,0,1,0
1739205782,0,1,2
1738629250,1,1,0
1731549413,0,1,1
1731079800,0,1,1
1728220707,0,1,0
1726764935,0,1,19
1726357858,0,1,5
1717836107,0,1,4
1717474485,1,1,1
1716595875,0,1,0
1716344653,0,1,0
1715376276,1,1,1
1713131389,1,1,1
1711314753,0,1,0
1710795566,1,1,0
1708199936,1,1,0
1704973950,1,1,0
1704120272,0,1,0
1703824390,0,1,0
1703713441,0,1,0
1703233004,0,1,0
1700958041,1,1,0
1700853065,0,1,0
1700165029,1,1,0
1699329497,0,1,0
1697158613,0,1,0
1696170171,0,1,0
1693838998,0,1,0
1693430445,0,1,1
1689258680,0,1,0
1688656571,0,1,1
1687811829,0,1,6
1687661846,0,1,0
1686059650,0,1,0
1683384029,0,1,0
1681231152,1,1,0
1680542102,0,1,1
1678538328,1,1,0
1676383458,1,1,0
1673892768,0,1,0
1667840611,0,1,11
1665944882,0,1,3
1662630071,0,1,0
1661803976,0,1,1
1661057318,1,1,0
1659597036,0,1,0
1658260172,1,1,0
1658070793,0,1,0
1657062890,0,1,0
1655733365,1,1,0
1655578094,1,1,3
1653420668,0,1,0
1652544634,0,1,0
1651622711,1,1,0
1651613324,0,1,13
1650487615,1,1,0
1649533188,0,1,0
1646413010,0,1,0
1646382019,0,1,0
1644630442,0,1,0
1642044763,0,1,0
1641415697,0,1,0
1641272897,0,1,9
1640795816,1,1,0
1640128647,1,1,0
1638891812,0,1,16
1637831077,0,1,0
1636574235,1,1,0
1636126519,0,1,15
1635824100,0,1,15
1632514511,0,1,0
1630762891,0,1,4
1629311106,0,1,9
1628674045,1,1,0
1627896071,0,1,8
1624680073,0,1,14
1624572344,0,1,3
1622970806,1,1,0
1622598426,0,1,15
1622114879,0,1,2
1621528011,0,1,7
1619751367,0,1,1
1618110337,0,1,7
1616994677,0,1,3
1616695897,1,1,0
1616077228,1,1,0
1614808676,1,1,0
1613869490,1,1,2
1613267940,0,1,1
1613028689,0,1,0
1611795688,0,1,10
1611554900,0,1,1
1611258639,0,1,0
1610667743,0,1,0
1609967539,0,1,8
1609821610,0,1,7
1609754770,0,1,0
1609554000,0,1,4
1609019694,0,1,0
1608838492,0,1,1
1608526419,0,1,0
1608437828,0,1,1
1608425798,0,1,10
1607807908,0,1,1
1606840294,1,1,0
1605500392,0,1,11
1604530203,0,1,0
1604076546,0,1,0
1603509941,0,1,0
1602699683,0,1,0
1602292045,0,1,15
1601752980,0,1,2
1601074394,1,1,0
1600723576,0,1,0
1600442652,0,1,11
1600164762,0,1,8
1599954370,0,1,2
1599221538,1,1,0
1598388515,0,1,1
1597600310,0,1,3
1597246427,0,1,1
1596507541,0,1,1
1596151829,1,1,0
1595708494,1,1,3
1594980155,1,1,0
1594937693,0,1,10
1593853187,1,1,0
1593703503,0,1,9
1593481669,0,1,17
1593471328,0,1,4
1593128247,0,1,2
1592872916,0,1,0
1592664677,1,1,1
1592608045,1,1,2
1592500688,1,1,0
1592145776,0,1,0
1591257784,0,1,11
1591182355,0,1,25
1590454563,0,1,1
1590157415,1,1,1
1589464786,0,1,1
1589132435,1,1,1
1588380791,0,1,6
1588216423,0,1,18
1587562941,1,1,0
1586622066,0,1,19
1586562451,0,1,1
1585827899,1,1,0
1585020024,0,1,2
1584815757,1,1,5
1584148110,0,1,7
1583090611,0,1,1
1583032335,0,1,0
1580741607,1,1,3
1580348579,0,1,8
1579751289,0,1,4
1578907355,0,1,6
1578566198,0,1,2
1577917444,0,1,30
1577595417,0,1,1
1576882126,0,1,2
1576491870,0,1,1
1575245942,0,1,21
1573951155,0,1,0
1573782519,0,1,0
1572804129,0,1,0
1572716466,0,1,4
1572487270,0,1,6
1571425556,1,1,1
1570877891,1,1,0
1570649548,0,1,0
1569650451,0,1,4
1569244900,0,1,6
1568950909,0,1,14
1568902452,0,1,19
1568876165,0,1,14
1568642985,0,1,0
1568003625,0,1,2
1567985867,0,1,3
1566641943,0,1,3
1566179790,0,1,3
1566178812,0,1,3
1566094435,0,1,0
1565477898,1,1,0
1565273342,0,1,2
1564974766,0,1,15
1564582111,0,1,0
1564503198,0,1,6
1564172326,0,1,0
1563895026,0,1,0
1562979722,0,1,2
1562761997,0,1,25
1561715721,0,1,142
1561316552,0,1,1
1560575527,0,1,1
1560559776,1,1,0
1560219293,0,1,1
1559841459,0,1,9
1559131221,0,1,0
1558893449,0,1,9
1558672858,0,1,3
1557974132,0,1,5
1557854590,1,1,0
1556764185,0,1,3
1556053154,1,1,7
1555863131,0,1,2
1555633977,0,1,4
1555502514,0,1,4
1553978017,0,1,0
1552240451,0,1,6
1551828395,0,1,22
1551362935,0,1,0
1551114205,0,1,1
1551076807,0,1,2
1550701493,0,1,1
1550270476,1,1,0
1550160241,0,1,2
1550008925,0,1,1
1549933910,0,1,7
1549750378,0,1,4
1549488336,0,1,3
1549084687,0,1,0
1548895001,0,1,5
1548587900,1,1,8
1548520106,0,1,1
1548401114,0,1,2
1548231716,0,1,1
1547881128,0,1,17
1547772916,0,1,2
1547698166,0,1,11
1547589087,0,1,2
1547530118,0,1,9
1547381693,0,1,0
1547231426,0,1,2
1547086155,0,1,1
1546855983,0,1,0
1546777618,0,1,3
1546456452,0,1,8
1546293373,0,1,9
1545970815,0,1,2
1545919941,0,1,0
1545765681,0,1,0
1545694047,0,1,8
1545617764,0,1,4
1545601220,0,1,13
1545572570,0,1,1
1545433376,0,1,4
1545204339,0,1,1
1545060968,0,1,5
1544958648,0,1,0
1544275722,0,1,4
1543691880,1,1,0
1543446041,1,1,0
1543131096,0,1,2
1542897003,0,1,2
1542652460,1,1,0
1541259813,0,1,7
1540942360,0,1,3
1540829750,0,1,4
1540734315,0,1,16
1540548779,1,1,6
1539186589,0,1,17
1538828543,1,1,0
1538439014,0,1,5
1538132074,0,1,0
1538009433,0,1,3
1537953651,0,1,4
1537813544,0,1,2
1537401122,0,1,2
1536851480,0,1,7
1536725520,0,1,3
1536693156,0,1,0
1536673266,0,1,1
1536612515,0,1,16
1536554918,0,1,1
1536360154,0,1,0
1536040898,0,1,2
1536013413,0,1,30
1535841296,0,1,3
1535122675,0,1,2
1534723198,0,1,5
1534455414,1,1,0
1534206090,0,1,9
1533452438,0,1,14
1533398871,0,1,4
1532600633,0,1,2
1532158344,0,1,6
1531568381,0,1,10
1531401100,0,1,0
1531400370,0,1,34
1531352112,0,1,6
1531117685,0,1,7
1531100837,0,1,3
1530726179,0,1,3
1530685411,0,1,1
1530610678,0,1,3
1530290767,0,1,10
1530281994,0,1,13
1530275312,0,1,7
1530270830,0,1,10
1530206641,0,1,1
1530151019,0,1,13
1530094521,0,1,0
1529957461,0,1,11
1529949935,0,1,9
1529512184,0,1,9
1529416528,1,1,0
1529415730,0,1,2
1529378688,0,1,5
1529368669,0,1,5
1529359243,0,1,21
1529335079,1,1,5
1529269580,0,1,5
1529263382,0,1,15
1529261888,0,1,8
1529259569,0,1,7
1529245107,0,1,7
1529085096,0,1,21
1529030071,0,1,3
1528930052,0,1,5
1528893944,0,1,1
1528569059,0,1,3
1528080404,0,1,3
1528024065,0,1,7
1527995446,0,1,8
1527792412,0,1,0
1527726791,0,1,0
1527641211,0,1,21
1527391408,0,1,2
1527030333,0,1,0
1526965170,0,1,17
1526741027,1,1,0
1526564644,0,1,14
1526323943,0,1,19
1526234258,0,1,15
1526231462,0,1,9
1526143865,0,1,6
1526108276,0,1,4
1526082905,0,1,10
1525977047,0,1,23
1525854884,0,1,7
1525566733,0,1,8
1525489818,0,1,17
1525364161,0,1,25
1525311505,0,1,9
1524972151,0,1,22
1524856884,0,1,0
1524828898,0,1,0
1524306571,0,1,4
1524303510,0,1,26
1524252776,0,1,18
1523988197,0,1,0
1523799184,0,1,4
1523766515,0,1,0
1523658794,0,1,1
1523548235,0,1,9
1523425835,0,1,13
1522947923,0,1,43
1522676444,0,1,8
1522603711,0,1,5
1522341669,0,1,13
1522190258,0,1,18
1521860684,1,1,3
1521733854,1,1,2
1521543843,0,1,12
1521445213,0,1,0
1521255255,0,1,8
1521178199,0,1,0
1521162214,0,1,0
1521134711,0,1,3
1521008881,0,1,5
1520974544,0,1,14
1520877662,0,1,1
1520695909,0,1,0
1520078056,0,1,22
1520035777,0,1,3
1520029595,1,1,3
1519514779,1,1,3
1519512464,1,1,5
1519479160,0,1,4
1519283705,1,1,1
1519220936,1,1,8
1519206423,0,1,4
1519184844,0,1,17
1519159052,0,1,10
1519056966,0,1,8
1518971976,1,1,4
1518965901,0,1,9
1518837072,0,1,25
1518023603,0,1,4
1517990143,1,1,0
1517867748,0,1,22
1517654897,1,1,1
1517551854,0,1,0
1517333391,0,1,0
1516866321,0,1,2
1516760251,0,1,17
1516736654,0,1,15
1516636887,0,1,12
1516523151,0,1,5
1516374710,0,1,0
1516370981,1,1,4
1516304591,0,1,15
1516293348,0,1,0
1516279152,0,1,1
1516197795,0,1,8
1516135732,1,1,7
1516104564,1,1,6
1516089264,1,1,4
1516044672,0,1,10
1515959000,0,1,12
1515935985,0,1,3
1515884353,0,1,0
1515834862,0,1,25
1515794686,1,1,0
1515737624,1,1,1
1515710646,0,1,0
1515613374,1,1,2
1515610510,0,1,1
1515587687,0,1,8
1515538653,1,1,1
1515537490,1,1,1
1515522630,0,1,4
1515519259,1,1,1
1515449226,0,1,7
1515439301,0,1,19
1515438513,0,1,3
1515437871,1,1,4
1515436937,0,1,0
1515421747,0,1,12
1515394648,0,1,0
1515378320,0,1,6
1515371142,0,1,0
1515366131,0,1,0
1515357244,0,1,6
1515357100,1,1,2
1515351758,0,1,18
1515334956,0,1,5
1515327677,0,1,12
1515293552,0,1,0
1515281730,0,1,4
1515278695,0,1,2
1515275919,1,1,2
1515273127,0,1,0
1515272431,0,1,3
1515267582,0,1,0
1515264390,0,1,0
1515241518,1,1,2
1515240289,0,1,11
1515235620,0,1,0
1515215747,0,1,0
1515215421,0,1,0
1515195163,1,1,2
1515175196,0,1,6
1515174738,0,1,6
1515164535,1,1,0
1515164165,0,1,4
1515144947,0,1,0
1515143810,0,1,0
1515143546,1,1,2
1515139327,0,1,3
1515135371,0,1,9
1515134591,0,1,3
1515126069,0,1,6
1515117433,0,1,45
1515117098,1,1,3
1515117020,0,1,5
1515115004,0,1,1
1515099807,0,1,14
1515099062,1,1,0
1515098216,0,1,7
1515091285,0,1,0
1515090170,0,1,2
1515086828,1,1,4
1515085449,1,1,9
1515083216,0,1,0
1515082470,1,1,0
1515059944,1,1,2
1515053297,0,1,0
1515046188,0,1,8
1515040798,0,1,3
1515039209,1,1,2
1515038429,1,1,1
1515028390,1,1,1
1515027052,1,1,1
1515020557,0,1,0
1515015185,0,1,1
1515015075,0,1,8
1515010594,0,1,4
1515009112,1,1,1
1515007489,0,1,6
1515005591,0,1,7
1515005571,0,1,2
1515001565,0,1,2
1514999680,0,1,16
1514999431,1,1,3
1514999287,0,1,0
1514997618,0,1,0
1514996608,0,1,1
1514995830,0,1,0
1514993780,0,1,1
1514992992,0,1,2
1514992452,0,1,4
1514992075,0,1,0
1514991080,1,1,1
1514989847,1,1,4
1514989834,0,1,0
1514989695,1,1,0
1514988471,0,1,0
1514987632,0,1,0
1514985410,0,1,0
1514983888,0,1,4
1514981949,0,1,0
1514981584,0,1,7
1514980979,0,1,52
1514979837,1,1,3
1514977783,1,1,1
1514977722,0,1,10
1514977271,0,1,0
1514976832,0,1,1
1514976063,1,1,2
1514974801,0,1,23
1514974727,0,1,0
1514974016,0,1,4
1514973018,0,1,0
1514972394,1,1,1
1514961309,0,1,0
1514960656,0,1,5
1514959584,0,1,2
1514956460,1,1,1
1514956143,0,1,6
1514955397,0,1,0
1514955296,0,1,19
1514953211,1,1,7
1514953157,0,1,3
1514952982,1,1,24
1514952850,0,1,14
1514952747,1,1,1
1514951864,0,1,4
1514951696,0,1,5
1514950103,1,1,1
1514949336,0,1,2
1514948962,0,1,7
1514948538,0,1,2
1514948013,0,1,168
1514947169,0,1,29
1514947035,0,1,0
1514947020,0,1,0
1514945122,0,1,0
1514944736,1,1,25
1514944715,0,1,13
1514944550,1,1,1
1514944121,0,1,1
1514943536,1,1,1
1514943434,1,1,1
1514942555,0,1,0
1514942161,1,1,53
1514941818,0,1,4
1514941636,0,1,4
1514941324,0,1,1
1514939593,0,1,11
1514939529,0,1,19
1514939380,0,1,65
1514939245,0,1,0
1514939202,1,1,0
1514939101,1,1,8
1514938965,1,1,26
1514938762,1,1,16
1514938354,1,1,32
1514938271,0,1,12
1514938020,0,1,3
1514937678,0,1,0
1514937668,0,1,66
1514937535,0,1,87
1514937435,0,1,1
